,Ticker Symbol,Period Ending,Gross Profit,Total Liabilities,Total Revenue
0,AAL,2012-12-31,14356000000.0,24891000000.0,24855000000.0
1,AAL,2013-12-31,15724000000.0,45009000000.0,26743000000.0
2,AAL,2014-12-31,27030000000.0,41204000000.0,42650000000.0
3,AAL,2015-12-31,29894000000.0,42780000000.0,40990000000.0
4,AAP,2012-12-29,3098036000.0,3403120000.0,6205003000.0
5,AAP,2013-12-28,3252146000.0,4048569000.0,6493814000.0
6,AAP,2015-01-03,4453613000.0,5959446000.0,9843861000.0
7,AAP,2016-01-02,4422772000.0,5673917000.0,9737018000.0
8,AAPL,2013-09-28,64304000000.0,83451000000.0,170910000000.0
9,AAPL,2014-09-27,70537000000.0,120292000000.0,182795000000.0
10,AAPL,2015-09-26,93626000000.0,170990000000.0,233715000000.0
11,AAPL,2016-09-24,84263000000.0,193437000000.0,215639000000.0
12,ABBV,2012-12-31,13872000000.0,27358000000.0,18380000000.0
13,ABBV,2013-12-31,14209000000.0,24706000000.0,18790000000.0
14,ABBV,2014-12-31,15534000000.0,25771000000.0,19960000000.0
15,ABBV,2015-12-31,18359000000.0,49105000000.0,22859000000.0
16,ABC,2013-09-30,2507819000.0,16598893000.0,87959167000.0
17,ABC,2014-09-30,2982366000.0,19575284000.0,119569127000.0
18,ABC,2015-09-30,3529313000.0,27346596000.0,135961803000.0
19,ABC,2016-09-30,4272606000.0,31526796000.0,146849686000.0
20,ABT,2012-12-31,10151000000.0,40514000000.0,19050000000.0
21,ABT,2013-12-31,10464000000.0,17782000000.0,19657000000.0
22,ABT,2014-12-31,11029000000.0,19681000000.0,20247000000.0
23,ABT,2015-12-31,11658000000.0,20036000000.0,20405000000.0
24,ADBE,2013-11-29,3468683000.0,3655664000.0,4055240000.0
25,ADBE,2014-11-28,3524985000.0,4009924000.0,4147065000.0
26,ADBE,2015-11-27,4051194000.0,4724892000.0,4795511000.0
27,ADBE,2016-12-02,5034522000.0,5282279000.0,5854430000.0
28,ADI,2013-11-02,1692411000.0,1642174000.0,2633689000.0
29,ADI,2014-11-01,1830188000.0,2101793000.0,2864773000.0
30,ADI,2015-10-31,2259262000.0,1985818000.0,3435092000.0
31,ADI,2016-10-29,2227173000.0,2804660000.0,3421409000.0
32,ADM,2012-12-31,3623000000.0,26005000000.0,90559000000.0
33,ADM,2013-12-31,3889000000.0,23558000000.0,89804000000.0
34,ADM,2014-12-31,4768000000.0,24367000000.0,81201000000.0
35,ADM,2015-12-31,4020000000.0,22242000000.0,67702000000.0
36,ADS,2012-12-31,1249299000.0,11471652000.0,3641390000.0
37,ADS,2013-12-31,1424146000.0,12388496000.0,4319063000.0
38,ADS,2014-12-31,1658961000.0,17867597000.0,5302940000.0
39,ADS,2015-12-31,1957046000.0,20411800000.0,6439746000.0
40,ADSK,2013-01-31,2073700000.0,2265200000.0,2312200000.0
41,ADSK,2014-01-31,1999600000.0,2333500000.0,2273900000.0
42,ADSK,2015-01-31,2170100000.0,2690500000.0,2512200000.0
43,ADSK,2016-01-31,2133400000.0,3895700000.0,2504100000.0
44,AEE,2012-12-31,2304000000.0,15614000000.0,5781000000.0
45,AEE,2013-12-31,2348000000.0,14498000000.0,5838000000.0
46,AEE,2014-12-31,2467000000.0,15576000000.0,6053000000.0
47,AEE,2015-12-31,2597000000.0,16694000000.0,6098000000.0
48,AEP,2012-12-31,8550000000.0,39130000000.0,14945000000.0
49,AEP,2013-12-31,8091200000.0,40329000000.0,14813500000.0
50,AEP,2014-12-31,8692900000.0,42724400000.0,16378600000.0
51,AEP,2015-12-31,9019700000.0,43791400000.0,16453200000.0
52,AFL,2012-12-31,8290000000.0,115116000000.0,25364000000.0
53,AFL,2013-12-31,8598000000.0,106687000000.0,23939000000.0
54,AFL,2014-12-31,8355000000.0,101420000000.0,22728000000.0
55,AFL,2015-12-31,7823000000.0,100588000000.0,20872000000.0
56,AIG,2012-12-31,33469000000.0,450631000000.0,71214000000.0
57,AIG,2013-12-31,34214000000.0,440859000000.0,68874000000.0
58,AIG,2014-12-31,30795000000.0,408683000000.0,64406000000.0
59,AIG,2015-12-31,21746000000.0,407285000000.0,58327000000.0
60,AIV,2012-12-31,572156000.0,5485955000.0,958511000.0
61,AIV,2013-12-31,594002000.0,5111956000.0,974053000.0
62,AIV,2014-12-31,603399000.0,4869293000.0,984363000.0
63,AIV,2015-12-31,616062000.0,4521803000.0,981310000.0
64,AIZ,2013-12-31,2337721000.0,24881210000.0,9047657000.0
65,AIZ,2014-12-31,2288090000.0,26381159000.0,10381653000.0
66,AIZ,2015-12-31,1658870000.0,25512435000.0,10325494000.0
67,AIZ,2016-12-31,2280552000.0,25611028000.0,7531780000.0
68,AJG,2013-12-31,3179600000.0,4775000000.0,3179600000.0
69,AJG,2014-12-31,4626500000.0,6780600000.0,4626500000.0
70,AJG,2015-12-31,5392400000.0,7272200000.0,5392400000.0
71,AJG,2016-12-31,5594800000.0,7893000000.0,5594800000.0
72,AKAM,2012-12-31,844047000.0,254873000.0,1373947000.0
73,AKAM,2013-12-31,1066835000.0,328254000.0,1577922000.0
74,AKAM,2014-12-31,1352931000.0,1056211000.0,1963874000.0
75,AKAM,2015-12-31,1471828000.0,1067047000.0,2197448000.0
76,ALB,2012-12-31,898843000.0,1603693000.0,2519154000.0
77,ALB,2013-12-31,850471000.0,1957436000.0,2394270000.0
78,ALB,2014-12-31,770848000.0,3863638000.0,2445548000.0
79,ALB,2015-12-31,1196872000.0,6360622000.0,3651335000.0
80,ALK,2012-12-31,2338000000.0,4084000000.0,4657000000.0
81,ALK,2013-12-31,2801000000.0,3809000000.0,5156000000.0
82,ALK,2014-12-31,3043000000.0,3937000000.0,5368000000.0
83,ALK,2015-12-31,3663000000.0,4122000000.0,5598000000.0
84,ALL,2012-12-31,11697000000.0,106367000000.0,33315000000.0
85,ALL,2013-12-31,14679000000.0,102040000000.0,34507000000.0
86,ALL,2014-12-31,14046000000.0,86175000000.0,35239000000.0
87,ALL,2015-12-31,12816000000.0,84631000000.0,35653000000.0
88,ALLE,2013-12-31,861500000.0,2066700000.0,2069600000.0
89,ALLE,2014-12-31,853700000.0,2020700000.0,2118300000.0
90,ALLE,2015-12-31,869100000.0,2237400000.0,2068100000.0
91,ALLE,2016-12-31,985300000.0,2134100000.0,2238000000.0
92,ALXN,2013-12-31,1373790000.0,935617000.0,1551346000.0
93,ALXN,2014-12-31,2060000000.0,899944000.0,2234000000.0
94,ALXN,2015-12-31,2371000000.0,4838000000.0,2604000000.0
95,ALXN,2016-12-31,2826000000.0,4559000000.0,3084000000.0
96,AMAT,2013-10-27,2991000000.0,4955000000.0,7509000000.0
97,AMAT,2014-10-26,3843000000.0,5306000000.0,9072000000.0
98,AMAT,2015-10-25,3952000000.0,7695000000.0,9659000000.0
99,AMAT,2016-10-30,4511000000.0,7371000000.0,10825000000.0
100,AME,2012-12-31,1180081000.0,2654905000.0,3334213000.0
101,AME,2013-12-31,1270494000.0,2741781000.0,3594136000.0
102,AME,2014-12-31,1424947000.0,3181402000.0,4021964000.0
103,AME,2015-12-31,1425015000.0,3409904000.0,3974295000.0
104,AMG,2012-12-31,1748600000.0,4102900000.0,1748600000.0
105,AMG,2013-12-31,2069800000.0,4184600000.0,2069800000.0
106,AMG,2014-12-31,2404200000.0,5071100000.0,2404200000.0
107,AMG,2015-12-31,2435900000.0,4947700000.0,2435900000.0
108,AMGN,2013-12-31,15330000000.0,44029000000.0,18676000000.0
109,AMGN,2014-12-31,15641000000.0,43231000000.0,20063000000.0
110,AMGN,2015-12-31,17435000000.0,43366000000.0,21662000000.0
111,AMGN,2016-12-31,18829000000.0,47751000000.0,22991000000.0
112,AMP,2012-12-31,8360000000.0,125637000000.0,10259000000.0
113,AMP,2013-12-31,9276000000.0,136384000000.0,11230000000.0
114,AMP,2014-12-31,10314000000.0,140686000000.0,12296000000.0
115,AMP,2015-12-31,9939000000.0,138125000000.0,12200000000.0
116,AMT,2012-12-31,2153481000.0,10516328000.0,2875960000.0
117,AMT,2013-12-31,2501534000.0,16749500000.0,3361407000.0
118,AMT,2014-12-31,3005783000.0,17310005000.0,4100048000.0
119,AMT,2015-12-31,3462648000.0,20252593000.0,4771516000.0
120,AMZN,2013-12-31,20271000000.0,30413000000.0,74452000000.0
121,AMZN,2014-12-31,26236000000.0,43764000000.0,88988000000.0
122,AMZN,2015-12-31,35355000000.0,51363000000.0,107006000000.0
123,AMZN,2016-12-31,47722000000.0,64117000000.0,135987000000.0
124,AN,2013-12-31,2759900000.0,5852400000.0,17517600000.0
125,AN,2014-12-31,2988700000.0,6327600000.0,19108800000.0
126,AN,2015-12-31,3261500000.0,7198900000.0,20862000000.0
127,AN,2016-12-31,3313200000.0,7749700000.0,21609000000.0
128,ANTM,2012-12-31,13283600000.0,35152700000.0,61497200000.0
129,ANTM,2013-12-31,14786400000.0,34809300000.0,71023500000.0
130,ANTM,2014-12-31,17019200000.0,37425000000.0,73874100000.0
131,ANTM,2015-12-31,18039600000.0,38673700000.0,79156500000.0
132,AON,2012-12-31,11514000000.0,22724000000.0,11514000000.0
133,AON,2013-12-31,11815000000.0,22106000000.0,11815000000.0
134,AON,2014-12-31,12045000000.0,23201000000.0,12045000000.0
135,AON,2015-12-31,11682000000.0,21058000000.0,11682000000.0
136,APA,2012-12-31,13349000000.0,29406000000.0,16428000000.0
137,APA,2013-12-31,11833000000.0,28241000000.0,14771000000.0
138,APA,2014-12-31,10180000000.0,30015000000.0,12691000000.0
139,APA,2015-12-31,4318000000.0,16276000000.0,6383000000.0
140,APC,2013-12-31,11639000000.0,33924000000.0,14581000000.0
141,APC,2014-12-31,15153000000.0,41242000000.0,18470000000.0
142,APC,2015-12-31,5513000000.0,33512000000.0,8698000000.0
143,APC,2016-12-31,4969000000.0,33352000000.0,7869000000.0
144,APD,2013-09-30,2708300000.0,10808000000.0,10180400000.0
145,APD,2014-09-30,2809100000.0,10413300000.0,10439000000.0
146,APD,2015-09-30,2955900000.0,10085500000.0,9894900000.0
147,APD,2016-09-30,3121700000.0,10975700000.0,9524400000.0
148,APH,2012-12-31,1343200000.0,2785504000.0,4292100000.0
149,APH,2013-12-31,1450800000.0,3308500000.0,4614700000.0
150,APH,2014-12-31,1693800000.0,4078500000.0,5345500000.0
151,APH,2015-12-31,1779500000.0,4219900000.0,5568700000.0
152,ARNC,2012-12-31,3299000000.0,26980000000.0,23700000000.0
153,ARNC,2013-12-31,3746000000.0,25149000000.0,23032000000.0
154,ARNC,2014-12-31,4769000000.0,25057000000.0,23906000000.0
155,ARNC,2015-12-31,4465000000.0,24482000000.0,22534000000.0
156,ATVI,2012-12-31,3194000000.0,2883000000.0,4856000000.0
157,ATVI,2013-12-31,3052000000.0,7390000000.0,4583000000.0
158,ATVI,2014-12-31,2883000000.0,7409000000.0,4408000000.0
159,ATVI,2015-12-31,3079000000.0,7183000000.0,4664000000.0
160,AVB,2012-12-31,1000627000.0,4322863000.0,1000627000.0
161,AVB,2013-12-31,1462921000.0,6732011000.0,1462921000.0
162,AVB,2014-12-31,1685061000.0,7094173000.0,1685061000.0
163,AVB,2015-12-31,1856028000.0,7090779000.0,1856028000.0
164,AVGO,2015-11-01,3553000000.0,5801000000.0,6824000000.0
165,AVGO,2016-10-30,5940000000.0,31074000000.0,13240000000.0
166,AVY,2012-12-31,1528200000.0,3524400000.0,5863500000.0
167,AVY,2013-12-28,1637700000.0,3118400000.0,6140000000.0
168,AVY,2015-01-03,1651200000.0,3309200000.0,6330300000.0
169,AVY,2016-01-02,1645800000.0,3168000000.0,5966900000.0
170,AWK,2012-12-31,1524426000.0,10255127000.0,2853926000.0
171,AWK,2013-12-31,1590000000.0,10343161000.0,2879000000.0
172,AWK,2014-12-31,1661000000.0,11108000000.0,3011000000.0
173,AWK,2015-12-31,1755000000.0,12180000000.0,3159000000.0
174,AXP,2012-12-31,0.0,134254000000.0,33781000000.0
175,AXP,2013-12-31,0.0,133879000000.0,34828000000.0
176,AXP,2014-12-31,0.0,138430000000.0,35895000000.0
177,AXP,2015-12-31,0.0,140511000000.0,34441000000.0
178,AYI,2013-08-31,837600000.0,910300000.0,2089100000.0
179,AYI,2014-08-31,979200000.0,1002900000.0,2393500000.0
180,AYI,2015-08-31,1145600000.0,1047000000.0,2706700000.0
181,AYI,2016-08-31,1436200000.0,1288200000.0,3291300000.0
182,AZO,2013-08-31,4740935000.0,8579408000.0,9147530000.0
183,AZO,2014-08-30,4934907000.0,9119020000.0,9475313000.0
184,AZO,2015-08-29,5327031000.0,9803739000.0,10187340000.0
