,Ticker symbol,Security
0,MMM,3M Company
1,ABT,Abbott Laboratories
2,ABBV,AbbVie
3,ACN,Accenture plc
4,ATVI,Activision Blizzard
5,AYI,Acuity Brands Inc
6,ADBE,Adobe Systems Inc
7,AAP,Advance Auto Parts
8,AES,AES Corp
9,AET,Aetna Inc
10,AMG,Affiliated Managers Group Inc
11,AFL,AFLAC Inc
12,A,Agilent Technologies Inc
13,APD,Air Products & Chemicals Inc
14,AKAM,Akamai Technologies Inc
15,ALK,Alaska Air Group Inc
16,ALB,Albemarle Corp
17,ALXN,Alexion Pharmaceuticals
18,ALLE,Allegion
19,AGN,"Allergan, Plc"
20,ADS,Alliance Data Systems
21,LNT,Alliant Energy Corp
22,ALL,Allstate Corp
23,GOOGL,Alphabet Inc Class A
24,GOOG,Alphabet Inc Class C
25,MO,Altria Group Inc
26,AMZN,Amazon.com Inc
27,AEE,Ameren Corp
28,AAL,American Airlines Group
29,AEP,American Electric Power
30,AXP,American Express Co
31,AIG,"American International Group, Inc."
32,AMT,American Tower Corp A
33,AWK,American Water Works Company Inc
34,AMP,Ameriprise Financial
35,ABC,AmerisourceBergen Corp
36,AME,AMETEK Inc
37,AMGN,Amgen Inc
38,APH,Amphenol Corp
39,APC,Anadarko Petroleum Corp
40,ADI,"Analog Devices, Inc."
41,ANTM,Anthem Inc.
42,AON,Aon plc
43,APA,Apache Corporation
44,AIV,Apartment Investment & Mgmt
45,AAPL,Apple Inc.
46,AMAT,Applied Materials Inc
47,ADM,Archer-Daniels-Midland Co
48,ARNC,Arconic Inc
49,AJG,Arthur J. Gallagher & Co.
50,AIZ,Assurant Inc
51,T,AT&T Inc
52,ADSK,Autodesk Inc
53,ADP,Automatic Data Processing
54,AN,AutoNation Inc
55,AZO,AutoZone Inc
56,AVB,"AvalonBay Communities, Inc."
57,AVY,Avery Dennison Corp
58,BHI,Baker Hughes Inc
59,BLL,Ball Corp
60,BAC,Bank of America Corp
61,BCR,Bard (C.R.) Inc.
62,BAX,Baxter International Inc.
63,BBT,BB&T Corporation
64,BDX,Becton Dickinson
65,BBBY,Bed Bath & Beyond
66,BRK.B,Berkshire Hathaway
67,BBY,Best Buy Co. Inc.
68,BIIB,BIOGEN IDEC Inc.
69,BLK,BlackRock
70,HRB,Block H&R
71,BA,Boeing Company
72,BWA,BorgWarner
73,BXP,Boston Properties
74,BSX,Boston Scientific
75,BMY,Bristol-Myers Squibb
76,AVGO,Broadcom
77,BF.B,Brown-Forman Corporation
78,CHRW,C. H. Robinson Worldwide
79,CA,"CA, Inc."
80,COG,Cabot Oil & Gas
81,CPB,Campbell Soup
82,COF,Capital One Financial
83,CAH,Cardinal Health Inc.
84,KMX,Carmax Inc
85,CCL,Carnival Corp.
86,CAT,Caterpillar Inc.
87,CBG,CBRE Group
88,CBS,CBS Corp.
89,CELG,Celgene Corp.
90,CNC,Centene Corporation
91,CNP,CenterPoint Energy
92,CTL,CenturyLink Inc
93,CERN,Cerner
94,CF,CF Industries Holdings Inc
95,SCHW,Charles Schwab Corporation
96,CHTR,Charter Communications
97,CHK,Chesapeake Energy
98,CVX,Chevron Corp.
99,CMG,Chipotle Mexican Grill
100,CB,Chubb Limited
101,CHD,Church & Dwight
102,CI,CIGNA Corp.
103,XEC,Cimarex Energy
104,CINF,Cincinnati Financial
105,CTAS,Cintas Corporation
106,CSCO,Cisco Systems
107,C,Citigroup Inc.
108,CFG,Citizens Financial Group
109,CTXS,Citrix Systems
110,CME,CME Group Inc.
111,CMS,CMS Energy
112,COH,Coach Inc.
113,KO,Coca Cola Company
114,CTSH,Cognizant Technology Solutions
115,CL,Colgate-Palmolive
116,CMCSA,Comcast A Corp
117,CMA,Comerica Inc.
118,CAG,ConAgra Foods Inc.
119,CXO,Concho Resources
120,COP,ConocoPhillips
121,ED,Consolidated Edison
122,STZ,Constellation Brands
123,GLW,Corning Inc.
124,COST,Costco Co.
125,COTY,"Coty, Inc"
126,CCI,Crown Castle International Corp.
127,CSRA,CSRA Inc.
128,CSX,CSX Corp.
129,CMI,Cummins Inc.
130,CVS,CVS Health
131,DHI,D. R. Horton
132,DHR,Danaher Corp.
133,DRI,Darden Restaurants
134,DVA,DaVita Inc.
135,DE,Deere & Co.
136,DLPH,Delphi Automotive
137,DAL,Delta Air Lines
138,XRAY,Dentsply Sirona
139,DVN,Devon Energy Corp.
140,DLR,Digital Realty Trust
141,DFS,Discover Financial Services
142,DISCA,Discovery Communications-A
143,DISCK,Discovery Communications-C
144,DG,Dollar General
145,DLTR,Dollar Tree
146,D,Dominion Resources
147,DOV,Dover Corp.
148,DOW,Dow Chemical
149,DPS,Dr Pepper Snapple Group
150,DTE,DTE Energy Co.
151,DD,Du Pont (E.I.)
152,DUK,Duke Energy
153,DNB,Dun & Bradstreet
154,ETFC,E*Trade
155,EMN,Eastman Chemical
156,ETN,Eaton Corporation
157,EBAY,eBay Inc.
158,ECL,Ecolab Inc.
159,EIX,Edison Int'l
160,EW,Edwards Lifesciences
161,EA,Electronic Arts
162,EMR,Emerson Electric Company
163,ENDP,Endo International
164,ETR,Entergy Corp.
165,EVHC,Envision Healthcare Corp
166,EOG,EOG Resources
167,EQT,EQT Corporation
168,EFX,Equifax Inc.
169,EQIX,Equinix
170,EQR,Equity Residential
171,ESS,"Essex Property Trust, Inc."
172,EL,Estee Lauder Cos.
173,ES,Eversource Energy
174,EXC,Exelon Corp.
175,EXPE,Expedia Inc.
176,EXPD,Expeditors Int'l
177,ESRX,Express Scripts
178,EXR,Extra Space Storage
179,XOM,Exxon Mobil Corp.
180,FFIV,F5 Networks
181,FB,Facebook
182,FAST,Fastenal Co
183,FRT,Federal Realty Investment Trust
184,FDX,FedEx Corporation
185,FIS,Fidelity National Information Services
186,FITB,Fifth Third Bancorp
187,FSLR,First Solar Inc
188,FE,FirstEnergy Corp
189,FISV,Fiserv Inc
190,FLIR,FLIR Systems
191,FLS,Flowserve Corporation
192,FLR,Fluor Corp.
193,FMC,FMC Corporation
194,FTI,FMC Technologies Inc.
195,FL,Foot Locker Inc
196,F,Ford Motor
197,FTV,Fortive Corp
198,FBHS,Fortune Brands Home & Security
199,BEN,Franklin Resources
200,FCX,Freeport-McMoran Cp & Gld
201,FTR,Frontier Communications
202,GPS,Gap (The)
203,GRMN,Garmin Ltd.
204,GD,General Dynamics
205,GE,General Electric
206,GGP,General Growth Properties Inc.
207,GIS,General Mills
208,GM,General Motors
209,GPC,Genuine Parts
210,GILD,Gilead Sciences
211,GPN,Global Payments Inc
212,GS,Goldman Sachs Group
213,GT,Goodyear Tire & Rubber
214,GWW,Grainger (W.W.) Inc.
215,HAL,Halliburton Co.
216,HBI,Hanesbrands Inc
217,HOG,Harley-Davidson
218,HAR,Harman Int'l Industries
219,HRS,Harris Corporation
220,HIG,Hartford Financial Svc.Gp.
221,HAS,Hasbro Inc.
222,HCA,HCA Holdings
223,HCP,HCP Inc.
224,HP,Helmerich & Payne
225,HSIC,Henry Schein
226,HES,Hess Corporation
227,HPE,Hewlett Packard Enterprise
228,HOLX,Hologic
229,HD,Home Depot
230,HON,Honeywell Int'l Inc.
231,HRL,Hormel Foods Corp.
232,HST,Host Hotels & Resorts
233,HPQ,HP Inc.
234,HUM,Humana Inc.
235,HBAN,Huntington Bancshares
236,IDXX,IDEXX Laboratories
237,ITW,Illinois Tool Works
238,ILMN,Illumina Inc
239,IR,Ingersoll-Rand PLC
240,INTC,Intel Corp.
241,ICE,Intercontinental Exchange
242,IBM,International Business Machines
243,IP,International Paper
244,IPG,Interpublic Group
245,IFF,Intl Flavors & Fragrances
246,INTU,Intuit Inc.
247,ISRG,Intuitive Surgical Inc.
248,IVZ,Invesco Ltd.
249,IRM,Iron Mountain Incorporated
250,JBHT,J. B. Hunt Transport Services
251,JEC,Jacobs Engineering Group
252,SJM,JM Smucker
253,JNJ,Johnson & Johnson
254,JCI,Johnson Controls International
255,JPM,JPMorgan Chase & Co.
256,JNPR,Juniper Networks
257,KSU,Kansas City Southern
258,K,Kellogg Co.
259,KEY,KeyCorp
260,KMB,Kimberly-Clark
261,KIM,Kimco Realty
262,KMI,Kinder Morgan
263,KLAC,KLA-Tencor Corp.
264,KSS,Kohl's Corp.
265,KHC,Kraft Heinz Co
266,KR,Kroger Co.
267,LB,L Brands Inc.
268,LLL,L-3 Communications Holdings
269,LH,Laboratory Corp. of America Holding
270,LRCX,Lam Research
271,LEG,Leggett & Platt
272,LEN,Lennar Corp.
273,LUK,Leucadia National Corp.
274,LVLT,Level 3 Communications
275,LLY,Lilly (Eli) & Co.
276,LNC,Lincoln National
277,LLTC,Linear Technology Corp.
278,LKQ,LKQ Corporation
279,LMT,Lockheed Martin Corp.
280,L,Loews Corp.
281,LOW,Lowe's Cos.
282,LYB,LyondellBasell
283,MTB,M&T Bank Corp.
284,MAC,Macerich
285,M,Macy's Inc.
286,MNK,Mallinckrodt Plc
287,MRO,Marathon Oil Corp.
288,MPC,Marathon Petroleum
289,MAR,Marriott Int'l.
290,MMC,Marsh & McLennan
291,MLM,Martin Marietta Materials
292,MAS,Masco Corp.
293,MA,Mastercard Inc.
294,MAT,Mattel Inc.
295,MKC,McCormick & Co.
296,MCD,McDonald's Corp.
297,MCK,McKesson Corp.
298,MJN,Mead Johnson
299,MDT,Medtronic plc
300,MRK,Merck & Co.
301,MET,MetLife Inc.
302,MTD,Mettler Toledo
303,KORS,Michael Kors Holdings
304,MCHP,Microchip Technology
305,MU,Micron Technology
306,MSFT,Microsoft Corp.
